sub_field_name,sub_field_id,topic_name,topic_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Artificial Intelligence,https://openalex.org/subfields/1702,Organizational and Employee Performance,https://openalex.org/T14064,3,3,3,2,3,3,4,2,3,2,4,3,8,4,3,7,4,9,4,7,8,6,9,11,8,8,6,5,7,13,20,27,21,24,41,51,66,85,84,121,253,260,339,433,477,565,826,986,1233,1577,1814,1979,1980,2456,2426
Artificial Intelligence,https://openalex.org/subfields/1702,Privacy-Preserving Technologies in Data,https://openalex.org/T10764,3,4,4,3,2,8,4,5,10,4,9,6,8,5,6,7,12,2,11,14,8,9,10,9,17,14,14,20,19,23,18,35,76,84,123,154,276,354,425,566,728,713,886,1036,1197,1250,1289,1441,1722,1965,2411,3118,3792,5069,5590
Artificial Intelligence,https://openalex.org/subfields/1702,Psychiatry Mental Health Neuroscience,https://openalex.org/T14381,5,11,4,7,9,10,4,6,6,7,9,6,6,13,18,22,12,15,11,21,18,23,28,14,24,36,28,33,43,46,42,61,68,79,85,105,123,109,106,95,120,120,131,125,143,121,105,111,132,86,81,42,44,42,46
Artificial Intelligence,https://openalex.org/subfields/1702,Quantum Computing Algorithms and Architecture,https://openalex.org/T10682,33,28,39,37,37,45,33,33,35,22,31,31,44,25,32,34,30,37,32,52,63,44,48,74,74,92,172,166,255,253,396,456,679,714,808,970,997,1008,1105,1038,1094,1098,1244,1357,1477,1348,1437,1549,1886,2315,2708,3274,3220,3907,4416
Artificial Intelligence,https://openalex.org/subfields/1702,Quantum Information and Cryptography,https://openalex.org/T10020,63,56,59,69,86,82,104,83,78,82,81,78,103,86,110,133,149,200,210,225,263,284,345,350,297,293,404,411,490,503,724,854,1198,1369,1718,2122,2264,2534,2676,2712,2733,2831,2852,3018,3109,2827,2960,3096,3034,3542,3340,3531,3470,3634,3461
Artificial Intelligence,https://openalex.org/subfields/1702,Reinforcement Learning in Robotics,https://openalex.org/T10462,11,9,14,15,14,10,12,9,22,14,9,10,11,9,7,12,15,14,15,13,22,30,43,37,60,59,100,107,127,143,127,187,445,369,399,383,401,445,449,481,470,461,444,487,452,434,563,640,969,1389,1480,1900,1473,1620,1569
Artificial Intelligence,https://openalex.org/subfields/1702,Security and Verification in Computing,https://openalex.org/T11424,5,2,3,8,8,12,10,18,19,29,21,22,21,37,34,32,32,28,29,36,46,29,50,44,66,61,87,78,103,107,126,116,515,429,357,463,509,620,634,694,739,753,736,744,771,755,783,860,902,985,877,929,821,860,724
Artificial Intelligence,https://openalex.org/subfields/1702,Seismology and Earthquake Studies,https://openalex.org/T13018,127,122,109,120,192,196,228,226,231,250,266,235,220,262,220,269,273,267,293,279,343,390,340,386,389,458,436,386,293,325,407,522,635,740,615,730,731,827,913,1079,1099,1072,1222,1345,1436,1413,1498,1476,1447,1747,1549,1134,715,822,1146
Artificial Intelligence,https://openalex.org/subfields/1702,Semantic Web and Ontologies,https://openalex.org/T10215,162,159,141,149,161,202,174,229,185,221,272,236,295,347,386,433,512,591,685,703,774,768,874,917,950,1021,1044,1091,1194,1238,1415,1580,2350,2477,2750,3249,3486,3821,4257,4172,4454,4183,4167,4396,4152,3993,3654,3365,3045,3089,2440,1816,1267,1228,2077
Artificial Intelligence,https://openalex.org/subfields/1702,Sentiment Analysis and Opinion Mining,https://openalex.org/T10664,2,0,1,3,0,2,1,0,1,0,1,0,0,1,1,0,0,2,2,1,2,1,2,2,1,0,1,1,7,2,5,12,9,9,33,40,92,150,208,323,518,506,716,908,1136,1367,1667,1798,2245,2498,2869,3290,3217,3669,3539
